Measurement Time	Port 1 ECT/RT-1 Temperature °C Temp	Port 2 EC-5 Soil Moisture m³/m³ VWC	Port 3 EC-5 Soil Moisture m³/m³ VWC	Port 4 EC-5 Soil Moisture m³/m³ VWC	Port 5 EC-5 Soil Moisture m³/m³ VWC
04/13/14 12:00 PM	-9.0	-0.150	-0.108	-0.132	-0.116
04/13/14 02:00 PM	5.7	0.093	0.174	0.125	0.154
04/13/14 04:00 PM	7.3	0.093	0.175	0.125	0.154
04/13/14 06:00 PM	7.9	0.094	0.174	0.125	0.154
04/13/14 08:00 PM	4.4	0.094	0.173	0.124	0.155
04/13/14 10:00 PM	-3.8	0.093	0.202	0.124	0.154
04/14/14 12:00 AM	-6.6	0.093	0.169	0.124	0.151
04/14/14 02:00 AM	-10.0	0.092	0.138	0.123	0.151
04/14/14 04:00 AM	-10.1	0.091	0.137	0.123	0.152
04/14/14 06:00 AM	-10.9	0.091	0.132	0.123	0.151
04/14/14 08:00 AM	-9.1	0.089	0.133	0.123	0.151
04/14/14 10:00 AM	1.0	0.089	0.147	0.124	0.153
04/14/14 12:00 PM	5.3	0.089	0.152	0.125	0.154
04/14/14 02:00 PM	8.8	0.091	0.160	0.124	0.153
04/14/14 04:00 PM	11.5	0.094	0.162	0.124	0.154
04/14/14 06:00 PM	13.4	0.094	0.161	0.124	0.154
04/14/14 08:00 PM	11.3	0.094	0.160	0.124	0.154
04/14/14 10:00 PM	-0.4	0.094	0.171	0.124	0.155
04/15/14 12:00 AM	-2.7	0.094	0.151	0.123	0.152
04/15/14 02:00 AM	2.5	0.093	0.154	0.125	0.152
04/15/14 04:00 AM	-0.7	0.093	0.150	0.123	0.151
04/15/14 06:00 AM	-1.3	0.093	0.140	0.123	0.150
04/15/14 08:00 AM	-0.9	0.092	0.140	0.123	0.149
04/15/14 10:00 AM	5.2	0.092	0.156	0.124	0.153
04/15/14 12:00 PM	7.8	0.091	0.162	0.124	0.153
04/15/14 02:00 PM	11.7	0.091	0.154	0.125	0.152
04/15/14 04:00 PM	14.8	0.093	0.155	0.124	0.152
04/15/14 06:00 PM	13.3	0.094	0.155	0.125	0.152
04/15/14 08:00 PM	8.2	0.094	0.163	0.125	0.153
04/15/14 10:00 PM	1.8	0.093	0.166	0.125	0.153
04/16/14 12:00 AM	0.9	0.093	0.162	0.125	0.153
04/16/14 02:00 AM	-2.9	0.092	0.155	0.125	0.152
04/16/14 04:00 AM	-3.3	0.091	0.135	0.125	0.149
04/16/14 06:00 AM	-9.5	0.091	0.126	0.123	0.149
04/16/14 08:00 AM	-6.3	0.090	0.124	0.124	0.150
04/16/14 10:00 AM	2.8	0.089	0.129	0.125	0.151
04/16/14 12:00 PM	8.6	0.089	0.141	0.125	0.151
04/16/14 02:00 PM	11.1	0.090	0.151	0.125	0.151
04/16/14 04:00 PM	13.2	0.093	0.158	0.125	0.151
04/16/14 06:00 PM	13.7	0.094	0.153	0.125	0.152
04/16/14 08:00 PM	10.1	0.094	0.158	0.125	0.152
04/16/14 10:00 PM	5.0	0.093	0.164	0.125	0.154
04/17/14 12:00 AM	-1.6	0.093	0.168	0.125	0.152
04/17/14 02:00 AM	-3.3	0.093	0.156	0.125	0.150
04/17/14 04:00 AM	-3.4	0.092	0.146	0.125	0.149
04/17/14 06:00 AM	-3.6	0.091	0.141	0.125	0.149
04/17/14 08:00 AM	-2.7	0.091	0.141	0.124	0.149
04/17/14 10:00 AM	7.1	0.089	0.151	0.126	0.151
04/17/14 12:00 PM	11.5	0.089	0.162	0.126	0.151
04/17/14 02:00 PM	13.8	0.090	0.162	0.126	0.151
04/17/14 04:00 PM	17.1	0.092	0.159	0.126	0.151
04/17/14 06:00 PM	18.1	0.093	0.157	0.126	0.151
04/17/14 08:00 PM	15.8	0.093	0.155	0.127	0.151
04/17/14 10:00 PM	11.3	0.093	0.165	0.127	0.152
04/18/14 12:00 AM	6.5	0.093	0.162	0.127	0.152
04/18/14 02:00 AM	5.1	0.093	0.159	0.127	0.152
04/18/14 04:00 AM	5.9	0.092	0.157	0.127	0.151
04/18/14 06:00 AM	6.6	0.092	0.157	0.127	0.151
04/18/14 08:00 AM	6.8	0.091	0.158	0.127	0.151
04/18/14 10:00 AM	5.6	0.091	0.157	0.127	0.151
04/18/14 12:00 PM	7.0	0.091	0.159	0.127	0.151
04/18/14 02:00 PM	13.6	0.089	0.179	0.127	0.150
04/18/14 04:00 PM	16.7	0.089	0.174	0.127	0.150
04/18/14 06:00 PM	18.3	0.091	0.163	0.127	0.151
04/18/14 08:00 PM	13.7	0.091	0.168	0.127	0.151
04/18/14 10:00 PM	6.6	0.090	0.161	0.127	0.151
04/19/14 12:00 AM	5.6	0.091	0.160	0.127	0.151
04/19/14 02:00 AM	4.9	0.090	0.162	0.127	0.151
04/19/14 04:00 AM	2.6	0.089	0.162	0.126	0.151
04/19/14 06:00 AM	-0.9	0.089	0.159	0.126	0.151
04/19/14 08:00 AM	-1.9	0.089	0.162	0.125	0.150
04/19/14 10:00 AM	8.5	0.089	0.157	0.127	0.150
04/19/14 12:00 PM	13.7	0.088	0.161	0.127	0.149
04/19/14 02:00 PM	17.0	0.089	0.172	0.127	0.149
04/19/14 04:00 PM	19.1	0.091	0.170	0.127	0.149
04/19/14 06:00 PM	19.8	0.091	0.160	0.127	0.150
04/19/14 08:00 PM	17.1	0.091	0.158	0.127	0.151
04/19/14 10:00 PM	8.1	0.091	0.164	0.127	0.151
04/20/14 12:00 AM	1.9	0.091	0.164	0.127	0.152
04/20/14 02:00 AM	1.7	0.090	0.162	0.127	0.152
04/20/14 04:00 AM	2.8	0.089	0.166	0.127	0.151
04/20/14 06:00 AM	1.4	0.089	0.157	0.127	0.151
04/20/14 08:00 AM	3.8	0.089	0.162	0.127	0.151
04/20/14 10:00 AM	11.3	0.088	0.162	0.127	0.151
04/20/14 12:00 PM	16.6	0.086	0.166	0.127	0.151
04/20/14 02:00 PM	18.9	0.089	0.167	0.127	0.151
04/20/14 04:00 PM	20.1	0.089	0.166	0.127	0.151
04/20/14 06:00 PM	20.2	0.089	0.164	0.127	0.151
04/20/14 08:00 PM	16.7	0.089	0.163	0.127	0.152
04/20/14 10:00 PM	7.6	0.089	0.166	0.127	0.153
04/21/14 12:00 AM	0.1	0.089	0.169	0.127	0.154
04/21/14 02:00 AM	0.3	0.089	0.168	0.127	0.153
04/21/14 04:00 AM	-0.8	0.088	0.159	0.126	0.151
04/21/14 06:00 AM	-1.9	0.088	0.146	0.125	0.149
04/21/14 08:00 AM	-0.3	0.087	0.147	0.125	0.150
04/21/14 10:00 AM	10.1	0.085	0.164	0.127	0.151
04/21/14 12:00 PM	14.9	0.084	0.161	0.127	0.151
04/21/14 02:00 PM	18.1	0.086	0.162	0.126	0.151
04/21/14 04:00 PM	20.5	0.088	0.160	0.126	0.151
04/21/14 06:00 PM	20.0	0.088	0.157	0.127	0.151
04/21/14 08:00 PM	16.3	0.088	0.163	0.127	0.152
04/21/14 10:00 PM	9.5	0.086	0.163	0.127	0.152
04/22/14 12:00 AM	7.0	0.086	0.156	0.127	0.152
04/22/14 02:00 AM	10.7	0.086	0.155	0.127	0.152
04/22/14 04:00 AM	10.4	0.086	0.152	0.127	0.152
04/22/14 06:00 AM	8.9	0.086	0.152	0.127	0.151
04/22/14 08:00 AM	7.6	0.086	0.151	0.127	0.151
04/22/14 10:00 AM	11.3	0.084	0.151	0.128	0.151
04/22/14 12:00 PM	18.7	0.083	0.155	0.127	0.150
04/22/14 02:00 PM	20.3	0.085	0.147	0.126	0.150
04/22/14 04:00 PM	16.9	0.085	0.161	0.126	0.151
04/22/14 06:00 PM	12.2	0.084	0.157	0.126	0.151
04/22/14 08:00 PM	8.1	0.083	0.155	0.126	0.151
04/22/14 10:00 PM	4.4	0.083	0.152	0.126	0.151
04/23/14 12:00 AM	2.7	0.085	0.158	0.129	0.151
04/23/14 02:00 AM	2.2	0.087	0.162	0.128	0.151
04/23/14 04:00 AM	-0.1	0.086	0.164	0.128	0.151
04/23/14 06:00 AM	-2.8	0.083	0.160	0.128	0.150
04/23/14 08:00 AM	-3.9	0.083	0.160	0.127	0.149
04/23/14 10:00 AM	1.6	0.086	0.170	0.128	0.150
04/23/14 12:00 PM	3.6	0.088	0.186	0.128	0.149
04/23/14 02:00 PM	7.0	0.096	0.199	0.126	0.148
04/23/14 04:00 PM	9.7	0.105	0.189	0.125	0.148
04/23/14 06:00 PM	9.2	0.106	0.188	0.125	0.149
04/23/14 08:00 PM	7.6	0.106	0.205	0.125	0.149
04/23/14 10:00 PM	1.9	0.106	0.192	0.124	0.149
04/24/14 12:00 AM	-0.2	0.105	0.174	0.123	0.149
04/24/14 02:00 AM	-5.3	0.105	0.160	0.123	0.146
04/24/14 04:00 AM	-4.0	0.105	0.151	0.123	0.144
04/24/14 06:00 AM	-4.3	0.105	0.147	0.123	0.145
04/24/14 08:00 AM	-2.3	0.104	0.154	0.123	0.145
04/24/14 10:00 AM	1.9	0.103	0.172	0.123	0.145
04/24/14 12:00 PM	5.9	0.105	0.190	0.123	0.145
04/24/14 02:00 PM	5.9	0.105	0.193	0.123	0.145
04/24/14 04:00 PM	7.8	0.105	0.188	0.123	0.145
04/24/14 06:00 PM	8.5	0.105	0.185	0.123	0.146
04/24/14 08:00 PM	8.0	0.100	0.177	0.123	0.145
04/24/14 10:00 PM	3.7	0.100	0.171	0.123	0.145
04/25/14 12:00 AM	2.8	0.101	0.169	0.123	0.145
04/25/14 02:00 AM	1.5	0.101	0.168	0.123	0.145
04/25/14 04:00 AM	0.7	0.101	0.170	0.123	0.145
04/25/14 06:00 AM	1.7	0.101	0.168	0.123	0.144
04/25/14 08:00 AM	2.9	0.101	0.173	0.123	0.145
04/25/14 10:00 AM	4.7	0.103	0.179	0.124	0.145
04/25/14 12:00 PM	7.2	0.105	0.188	0.125	0.145
04/25/14 02:00 PM	7.6	0.107	0.184	0.124	0.145
04/25/14 04:00 PM	10.1	0.110	0.184	0.123	0.145
04/25/14 06:00 PM	8.1	0.111	0.191	0.124	0.145
04/25/14 08:00 PM	5.2	0.130	0.205	0.125	0.147
04/25/14 10:00 PM	3.8	0.139	0.225	0.125	0.149
04/26/14 12:00 AM	3.5	0.140	0.228	0.125	0.149
04/26/14 02:00 AM	4.2	0.139	0.228	0.125	0.149
04/26/14 04:00 AM	3.1	0.140	0.229	0.125	0.149
04/26/14 06:00 AM	3.0	0.138	0.224	0.127	0.150
04/26/14 08:00 AM	3.1	0.136	0.220	0.132	0.153
04/26/14 10:00 AM	3.9	0.135	0.223	0.137	0.161
04/26/14 12:00 PM	5.5	0.134	0.226	0.141	0.167
04/26/14 02:00 PM	6.7	0.135	0.230	0.144	0.170
04/26/14 04:00 PM	6.3	0.138	0.230	0.145	0.173
04/26/14 06:00 PM	5.9	0.140	0.233	0.148	0.176
04/26/14 08:00 PM	4.9	0.141	0.236	0.151	0.179
04/26/14 10:00 PM	3.4	0.139	0.228	0.153	0.182
04/27/14 12:00 AM	2.9	0.136	0.226	0.154	0.183
04/27/14 02:00 AM	2.8	0.133	0.219	0.154	0.183
04/27/14 04:00 AM	1.5	0.131	0.214	0.153	0.183
04/27/14 06:00 AM	0.6	0.128	0.212	0.152	0.183
04/27/14 08:00 AM	0.3	0.126	0.212	0.152	0.181
04/27/14 10:00 AM	4.6	0.128	0.220	0.152	0.181
04/27/14 12:00 PM	7.6	0.131	0.220	0.151	0.181
04/27/14 02:00 PM	8.3	0.130	0.224	0.151	0.181
04/27/14 04:00 PM	8.7	0.131	0.219	0.151	0.181
04/27/14 06:00 PM	9.9	0.130	0.223	0.151	0.181
04/27/14 08:00 PM	4.4	0.128	0.217	0.151	0.181
04/27/14 10:00 PM	1.1	0.125	0.204	0.150	0.181
04/28/14 12:00 AM	-1.1	0.123	0.197	0.150	0.181
04/28/14 02:00 AM	-4.0	0.123	0.202	0.149	0.179
04/28/14 04:00 AM	-3.3	0.123	0.197	0.148	0.177
04/28/14 06:00 AM	-6.4	0.122	0.199	0.147	0.179
04/28/14 08:00 AM	-4.5	0.117	0.191	0.147	0.180
04/28/14 10:00 AM	2.7	0.115	0.190	0.147	0.179
04/28/14 12:00 PM	5.6	0.111	0.194	0.147	0.178
04/28/14 02:00 PM	7.4	0.113	0.195	0.147	0.178
04/28/14 04:00 PM	7.3	0.114	0.199	0.147	0.178
04/28/14 06:00 PM	7.4	0.115	0.202	0.147	0.177
04/28/14 08:00 PM	5.9	0.113	0.201	0.147	0.177
04/28/14 10:00 PM	1.4	0.112	0.196	0.146	0.177
04/29/14 12:00 AM	-0.8	0.111	0.191	0.146	0.176
04/29/14 02:00 AM	-3.2	0.110	0.182	0.145	0.175
04/29/14 04:00 AM	-3.1	0.113	0.182	0.145	0.174
04/29/14 06:00 AM	-1.0	0.115	0.178	0.145	0.176
04/29/14 08:00 AM	-1.3	0.113	0.173	0.145	0.176
04/29/14 10:00 AM	4.2	0.111	0.178	0.145	0.175
04/29/14 12:00 PM	8.0	0.107	0.185	0.145	0.174
04/29/14 02:00 PM	11.8	0.111	0.187	0.145	0.174
04/29/14 04:00 PM	13.3	0.113	0.188	0.144	0.174
04/29/14 06:00 PM	12.7	0.113	0.182	0.145	0.174
04/29/14 08:00 PM	8.9	0.111	0.185	0.145	0.174
04/29/14 10:00 PM	-0.3	0.110	0.186	0.144	0.174
04/30/14 12:00 AM	-3.7	0.109	0.181	0.144	0.174
04/30/14 02:00 AM	-1.2	0.108	0.178	0.144	0.172
04/30/14 04:00 AM	0.3	0.108	0.172	0.144	0.172
04/30/14 06:00 AM	-2.8	0.106	0.171	0.143	0.174
04/30/14 08:00 AM	0.2	0.107	0.173	0.143	0.174
